parameter,mean,sd,Q16,Q50,Q84
Pn,82.11396246914819,7.960044500719044,74.55936178439482,80.6160326801992,90.14163174789914
A1,14531.501752757666,5433.558194646828,6167.290683692947,16868.594846748765,18654.63885792893
b1,2.0781204306774215,0.5587445131904506,1.7358629205421539,1.8118059665684698,2.6716294079734806
A2,375.2676837979007,23.829061488815576,359.3396234532912,369.99843813492674,385.80849004142095
b2,54.528825168523376,3.595666840716019,52.215829204207445,53.612313818582216,55.844512660218484
A3,61.011563608290444,12.730411635044245,51.85211932057406,64.57823162054753,70.72303298955205
b3,255.95648460835764,39.02097392092802,213.278105513213,262.5474267167119,296.89709766978547
Pg,166.90163732801105,28.401791018995844,151.09240090093385,176.2512736761721,186.77010996542748
numax,207.83346664875222,1.174804191513402,207.1949931353774,208.01191026099224,208.56020426489016
sigmaEnv,10.649977566016325,2.0941420063665386,9.480438715792458,9.925467265732145,11.463455553759761
lnprob,-224114.791633414,213.01930766252292,-224229.22849226242,-224021.21501494705,-224018.5012352004
