parameter,mean,sd,Q16,Q50,Q84
Pn,54.902828665970596,0.7655001841861335,54.14060291434401,54.90370621391582,55.65885610735821
A1,14034.527110846924,1977.609616607227,12103.204194877884,13846.183713640921,15984.139066825464
b1,1.1665688002256378,0.0817141882729108,1.085566132536562,1.162194730126958,1.2471163921692143
A2,808.2946576052452,34.47111166214251,774.7340729780786,807.4713816426655,842.446471206326
b2,24.53587786117783,0.8035820913340016,23.74462084235526,24.52651753216631,25.325111561333088
A3,178.69907551288208,10.227246308925066,168.69732195948376,178.68827150361267,188.73756593065735
b3,87.91233021909461,2.8833900995498336,85.04488411395748,87.89718717473383,90.78387336584936
Pg,290.00252295915465,12.707011408816715,277.4532244149523,289.8185962127116,302.6917697737449
numax,97.71402256236487,0.38354818964564075,97.32776757716852,97.71740811506113,98.095356987574
sigmaEnv,9.523619665976199,0.4219465724433928,9.10597726357935,9.519354391918151,9.938536241598039
lnprob,-125069.81620936701,2.2761069734856343,-125071.99999297038,-125069.47484641132,-125067.6287657591
