time,time_raw,flux
54964.51222513,54964.51222513,-834.7184081795145
54964.53265982,54964.53265982,-686.8905828403442
54964.55309442,54964.55309442,-527.7307306071485
54964.57352891,54964.57352891,-239.23072077920637
54964.5939635,54964.5939635,-565.8053608556552
54964.6143982,54964.6143982,-284.6336279670828
54964.63483269,54964.63483269,-470.4184971829095
54964.65526728,54964.65526728,-308.40938832183133
54964.67570198,54964.67570198,-63.925033186264244
54964.69613657,54964.69613657,-202.03622035356176
54964.71657106,54964.71657106,-198.60926714624927
54964.73700565,54964.73700565,-386.10383341806005
54964.75744035,54964.75744035,-684.1729791420387
54964.77787484,54964.77787484,-342.24387770660655
54964.79830943,54964.79830943,-252.72246312479768
54964.81874413,54964.81874413,-502.1441662183121
54964.83917862,54964.83917862,-616.06243462874545
54964.85961321,54964.85961321,-314.17266828877507
54964.8800478,54964.8800478,-424.0964679496276
54964.9004824,54964.9004824,-609.324543881298
54964.92091699,54964.92091699,-301.29663117364504
54964.94135158,54964.94135158,-185.46416244879097
54964.96178617,54964.96178617,148.34673371439138
54964.98222077,54964.98222077,-144.09451809973075
54965.00265536,54965.00265536,-719.7796857882096
54965.02308985,54965.02308985,-735.810414443417
54965.04352454,54965.04352454,-381.6736249851715
54965.06395913,54965.06395913,-597.8197880359403
54965.08439363,54965.08439363,-527.7814114378377
54965.10482822,54965.10482822,-699.9391140509078
54965.12526291,54965.12526291,-490.70751012431055
54965.1456974,54965.1456974,-317.4057339456753
54965.16613199,54965.16613199,-505.90541362516564
54965.18656669,54965.18656669,-689.5719279670775
54965.20700128,54965.20700128,-315.5721367938794
54965.22743577,54965.22743577,-314.0293050235888
54965.24787036,54965.24787036,-212.8185454645385
54965.26830505,54965.26830505,-402.84971974866136
54965.28873954,54965.28873954,-137.64143609123488
54965.30917414,54965.30917414,-286.2227807622351
54965.32960883,54965.32960883,-604.001176158695
54965.35004332,54965.35004332,-668.1767647174195
54965.37047791,54965.37047791,-419.4015468077223
54965.3909125,54965.3909125,-61.396728146844055
54965.41134709,54965.41134709,113.73340346928484
54965.43178168,54965.43178168,-242.28374793638557
54965.45221627,54965.45221627,-565.1908725394451
54965.47265096,54965.47265096,-1117.8505229232624
54965.49308545,54965.49308545,-325.58951252496877
54965.51352005,54965.51352005,-594.0817513679146
54965.53395454,54965.53395454,-370.84744553462286
54965.55438923,54965.55438923,-21.69202308449951
54965.57482382,54965.57482382,-410.2466127362436
54965.59525831,54965.59525831,-340.3194637392121
54965.615693,54965.615693,-498.66752865727153
54965.63612759,54965.63612759,-796.0823686812319
54965.65656218,54965.65656218,-729.7818184174283
54965.67699667,54965.67699667,-608.2534915413007
54965.69743136,54965.69743136,-346.6995526179385
54965.71786595,54965.71786595,-412.97756558723324
54965.73830044,54965.73830044,-297.4700380190677
54965.75873513,54965.75873513,-792.7774157975581
54965.77916972,54965.77916972,-573.2315629910757
54965.79960421,54965.79960421,-182.2877854756105
54965.8200388,54965.8200388,-113.79948286357848
54965.84047349,54965.84047349,-231.67734202145917
54965.86090798,54965.86090798,-279.7434418529368
54965.88134257,54965.88134257,-730.197452633295
54965.90177726,54965.90177726,-414.552104332035
54965.92221175,54965.92221175,-551.7564747247526
54965.94264634,54965.94264634,-302.8116913027467
54965.96308093,54965.96308093,-825.2517430214277
54965.98351562,54965.98351562,-1035.9037655534703
54966.0039501,54966.0039501,-636.0987348822241
54966.02438469,54966.02438469,-608.5466476727095
