 KIC incl e_incl_pos e_incl_neg n_comp
 1027337 55.0 10.6 10.6 3
 1430118 68.8 21.2  8.9 2
 1430985 36.2 16.0 36.2 1
 1433803 72.2  9.3  9.3 2
 1569842 32.5 13.8 13.8 3
 1719422 75.7 14.3  8.0 2
 1723752 36.4 11.3 11.3 3
 1723843 74.3 15.7  7.2 2
 1726291 40.7 12.8 12.8 3
 1865102 46.3 10.8 10.8 3
 1870196 30.9 16.8 16.8 3
 1996078 64.5 25.5 10.0 2
 1996415 23.9 10.2 23.9 1
 2011891 22.1  9.4 22.1 1
 2018537 31.4 13.6 31.4 1
 2018585 60.7 29.3  7.7 2
 2020383 30.0 13.0 30.0 1
 2141255 76.4 13.6  8.2 2
 2141436 74.6 15.4  7.5 2
 2157650 24.6 10.5 24.6 1
 2160910 62.0 28.0 11.9 2
 2161409 44.5  6.7  6.7 3
 2161831 70.8 19.2  6.8 2
 2285827 52.0 13.5 13.5 3
 2303101 19.8  8.4 19.8 1
 2305992 21.1  8.9 21.1 1
 2422558 72.4 17.6  6.1 2
 2436457 47.5 18.4 18.4 3
 2437325 39.1 17.4 39.1 1
 2442483 75.8 14.2  8.6 2
 2447476 27.5 11.8 27.5 1
 2449558 27.3 11.7 27.3 1
 2557392 36.3 16.0 36.3 1
 2568912 40.4 17.5 17.5 3
 2570244 36.3 16.0 36.3 1
 2578581 74.8 15.2  5.9 2
 2579661 77.4 12.6  6.2 2
 2583386 65.2 24.8  6.9 2
 2584478 75.8 14.2  8.8 2
 2692629 66.9 13.0 13.0 3
 2696732 53.8 18.0 18.0 3
 2696739 30.6 13.2 30.6 1
 2715975 70.6 19.4  8.7 2
 2719701 49.4 17.5 17.5 3
 2833772 76.9 13.1  6.2 2
 2835067 59.1  7.0  7.0 3
 2835657 31.9 13.8 31.9 1
 2853354 68.2  7.5  7.5 3
 2970784 76.8 13.2  5.5 2
 2971432 23.0  9.8 23.0 1
 2972545 23.0  9.8 23.0 1
 2972876 53.7 11.6 11.6 3
 2974827 44.4 15.8 15.8 3
 2988295 24.8 10.6 24.8 1
 2998532 73.9 16.1  6.0 2
 3096636 28.9 12.5 28.9 1
 3097819 55.0 13.7 13.7 3
 3098179 39.9 17.3 17.3 3
 3100164 72.9 17.1  9.6 2
 3109742 34.5 15.1 34.5 1
 3111456 33.5 14.6 33.5 1
 3111831 28.4 12.2 28.4 1
 3113648 65.4 15.4 15.4 3
 3115292 76.8 13.2  6.7 2
 3119555 28.9 12.5 28.9 1
 3123653 62.8 27.2 12.4 2
 3129312 75.3 14.7 10.3 2
 3216334 40.0 17.9 40.0 1
 3218312 66.6 11.9 11.9 2
 3221086 29.5 12.7 29.5 1
 3222834 69.7 10.3 10.3 3
 3247146 40.5 18.1 40.5 1
 3337536 20.8  8.8 20.8 1
 3343630 31.1 13.5 31.1 1
 3346725 77.9 12.1  5.8 2
 3347431 35.8 15.7 35.8 1
 3426673 76.4 13.6  8.1 2
 3427908 70.2 19.8  9.2 2
 3428577 75.5 14.5  7.8 2
 3430007 31.3 13.6 31.3 1
 3430674 68.7 21.3 11.6 2
 3432802 75.0 15.1  6.0 2
 3439353 59.6  9.9  9.9 3
 3441207 73.3 16.7  9.7 2
 3448427 70.4 19.6  6.6 2
 3525569 71.1 18.9  8.2 2
 3526061 63.9 11.4 11.4 3
 3530333 25.4 10.8 25.4 1
 3531436 65.8 24.2  9.7 2
 3531478 41.2  9.3  9.3 3
 3532085 66.7 12.4 12.4 3
 3539429 76.0 14.1  8.4 2
 3546046 44.4 10.9 10.9 3
 3547041 24.2 10.3 24.2 1
 3547236 42.0 14.9 14.9 3
 3628943 78.2 11.8  6.3 2
 3632803 72.7 17.3  7.7 2
 3642837 72.3 17.7  6.8 2
 3645589 18.9  8.0 18.9 1
 3647215 15.8  6.6 15.8 1
 3733028 76.2 13.8  7.3 2
 3733123 62.7 27.3  6.8 2
 3733676 72.6 17.4  9.4 2
 3734501 37.4 16.6 37.4 1
 3735912 60.6  9.3  9.3 3
 3744043 47.1 16.4 16.4 3
 3746005 52.8 16.7 16.7 3
 3751415 46.9 16.3 16.3 3
 3751663 31.7 13.8 31.7 1
 3756174 71.5 18.5  7.0 2
 3833819 49.6 15.5 15.5 3
 3837488 25.6 10.9 25.6 1
 3839294 21.6  9.2 21.6 1
 3842778 73.4 16.6  5.3 2
 3847096 30.2 13.1 30.2 1
 3854607 28.9 12.4 28.9 1
 3861797 35.7 20.4 20.4 3
 3942701 74.8 15.2  6.1 2
 3955033 70.4 19.6  9.5 2
 3965502 76.2 13.8  6.8 2
 3970635 40.6 18.2 40.6 1
 3973247 43.8 19.2 19.2 3
 4048951 50.3 17.1 17.1 3
 4056579 57.0 12.6 12.6 3
 4066074 70.8 19.2  8.6 2
 4066278 54.6 12.0 12.0 3
 4074796 75.1 14.9  7.2 2
 4137210 20.6  8.7 20.6 1
 4147928 32.2 14.0 32.2 1
 4147993 68.7  9.6  9.6 3
 4164464 63.2 16.0 16.0 3
 4168909 66.1 13.7 13.7 3
 4171788 29.4 12.7 29.4 1
 4172148 63.9 26.1  6.9 2
 4174996 53.0 16.8 16.8 3
 4180064 37.8 16.7 37.8 1
 4261269 77.1 12.9  5.6 2
 4262505 68.4  9.3  9.3 2
 4279009 28.6 12.3 28.6 1
 4280299 40.3 18.0 40.3 1
 4280424 32.3 14.1 32.3 1
 4282310 73.0 17.0  8.0 2
 4348513 67.6 11.7 11.7 3
 4350501 37.7 16.7 37.7 1
 4356490 51.1 15.4 15.4 3
 4365132 28.3 12.2 28.3 1
 4370730 75.5 14.5  8.1 2
 4376913 77.3 12.7  6.3 2
 4445549 66.4  8.7  8.7 3
 4446215 52.7 13.7 13.7 3
 4448777 61.6 19.6 19.6 3
 4454505 32.7 14.2 32.7 1
 4457632 75.8 14.2  6.5 2
 4465516 38.9 17.3 38.9 1
 4466582 61.3 15.6 15.6 3
 4469317 49.7 15.1 15.1 3
 4471217 29.5 12.7 29.5 1
 4472729 69.6 20.4 13.6 2
 4475643 68.6 21.4  8.0 2
 4489185 61.2 14.2 14.2 2
 4555734 49.1  9.6  9.6 3
 4568343 60.9 13.2 13.2 3
 4570555 78.2  7.8  7.8 2
 4571448 79.4 10.6  4.6 2
 4586384 40.6 18.2 40.6 1
 4586817 63.4 12.3 12.3 3
 4588755 54.2 13.8 13.8 3
 4633376 27.0 11.6 27.0 1
 4645474 73.2 16.8  6.7 2
 4645513 28.6 12.3 28.6 1
 4649441 43.8 14.6 14.6 3
 4650936 61.4 12.3 12.3 3
 4660930 37.1 16.4 37.1 1
 4662555 46.7 11.8 11.8 3
 4664515 48.8 13.6 13.6 3
 4667909 58.6 14.3 14.3 3
 4669118 66.2 11.6 11.6 3
 4678118 71.8 18.2  7.0 2
 4726049 30.6 13.3 30.6 1
 4729920 74.7 15.3  7.0 2
 4730648 69.9 20.1  8.8 2
 4732137 72.7 17.3 12.2 2
 4749874 35.9 15.8 35.9 1
 4755372 66.2 10.7 10.7 3
 4756746 47.0 20.3 20.3 3
 4774298 18.6  7.8 18.6 1
 4818593 71.0 19.0  8.6 2
 4826423 21.7  9.2 21.7 1
 4833419 68.1 21.9  9.0 2
 4839278 67.6 22.4  7.5 2
 4840662 57.5 13.2 13.2 3
 4842192 55.3 14.7 14.7 3
 4847270 42.5  9.0  9.0 2
 4848095 37.3 16.5 37.3 1
 4852408 32.4 14.1 32.4 1
 4902442 54.2 10.2 10.2 3
 4904166 74.4 15.6  7.5 2
 4904621 59.5 28.0 28.0 3
 4912918 73.7 16.3  8.3 2
 4920600 78.1 11.9  6.2 2
 4926689 58.6 16.6 16.6 3
 4928958 77.9 12.1  6.2 2
 4932704 59.3 14.8 14.8 3
 4934133 55.6  9.1  9.1 3
 4952717 81.2  8.8  4.6 2
 4953262 39.9 24.9 24.9 3
 4989477 68.7 21.3  9.5 2
 4991732 72.4 17.6  7.3 2
 4995788 13.4  5.6 13.4 1
 4997023 66.2 23.8  9.8 2
 5000089 24.7 10.5 24.7 1
 5002732 71.4 10.1 10.1 3
 5003549 35.3 16.5 16.5 3
 5006817 66.4  9.6  9.6 3
 5016549 47.1 10.0 10.0 3
 5019587 37.1 16.4 37.1 1
 5034206 61.0 13.6 13.6 3
 5035304 76.0 14.1  7.3 2
 5080831 50.8 17.7 17.7 3
 5083853 32.3 14.1 32.3 1
 5105354 30.3 13.1 30.3 1
 5107886 68.0 10.9 10.9 3
 5109052 35.4 15.6 35.4 1
 5109878 71.8 18.2 10.3 2
 5110453 42.0 16.8 16.8 3
 5111718 68.1 21.9  8.4 2
 5112072 63.3 12.9 12.9 3
 5113441 37.7 16.7 37.7 1
 5129236 70.8 19.2 11.0 2
 5168382 61.4 15.3 15.3 3
 5172427 75.2 14.8  6.9 2
 5176520 79.4 10.6  6.0 2
 5197031 71.7  9.2  9.2 3
 5199978 19.8  8.4 19.8 1
 5206349 73.2 16.8  6.1 2
 5208343 28.1 12.1 28.1 1
 5214140 79.2 10.8  5.5 2
 5215099 70.2 19.8  8.3 2
 5215820 21.1  8.9 21.1 1
 5252534 40.9 10.2 10.2 3
 5254812 65.9 11.5 11.5 3
 5255835 55.5 11.2 11.2 3
 5266369 23.7 10.1 23.7 1
 5284948 63.9 15.9 15.9 3
 5285490 37.6 16.6 37.6 1
 5290047 32.6 14.2 32.6 1
 5295846 31.8 13.8 31.8 1
 5305945 30.8 13.3 30.8 1
 5306751 72.9 17.1  7.1 2
 5308777 67.9 22.1  7.8 2
 5340189 69.3 12.3 12.3 2
 5340720 74.9 15.1  7.2 2
 5341131 52.6  9.4  9.4 3
 5341746 61.4 28.6  8.9 2
 5343454 68.0 22.0  8.2 2
 5345094 25.6 10.9 25.6 1
 5350163 34.6 15.2 34.6 1
 5356201 53.4 12.6 12.6 3
 5364240 32.5 14.2 32.5 1
 5370902 72.9 17.1  6.3 2
 5371124 78.5 11.5  6.3 2
 5371756 30.9 13.4 30.9 1
 5372224 34.4 15.0 34.4 1
 5377341 42.2 20.4 20.4 3
 5377645 32.8 14.3 32.8 1
 5380775 70.3 19.7  6.2 2
 5384777 60.7 12.6 12.6 3
 5385518 72.5 17.5  6.8 2
 5389263 31.7 13.8 31.7 1
 5390372 57.7 12.0 12.0 3
 5428360 65.1 13.0 13.0 2
 5429842 49.6 18.8 18.8 3
 5440198 51.0 13.1 13.1 3
 5450937 62.2 11.0 11.0 3
 5457703 27.6 11.9 27.6 1
 5461779 40.4 13.1 13.1 3
 5461921 39.8 19.7 19.7 3
 5470218 60.4 14.2 14.2 3
 5513434 39.0 17.3 39.0 1
 5513771 25.9 11.1 25.9 1
 5514689 38.2 16.9 38.2 1
 5521181 75.4 14.6  7.7 2
 5522071 18.6  7.8 18.6 1
 5522575 43.2 13.0 13.0 3
 5530598 67.1 22.9  8.0 2
 5543573 75.8 14.2  7.6 2
 5544444 35.1 15.4 35.1 1
 5560101 28.1 12.1 28.1 1
 5600739 73.9 16.1  8.2 2
 5602062 53.9 16.0 16.0 3
 5613099 72.5  9.0  9.0 2
 5617324 69.3  9.8  9.8 3
 5620636 59.7 14.4 14.4 3
 5637392 54.3  9.2  9.2 3
 5639438 72.1  9.8  9.8 3
 5645576 25.0 10.7 25.0 1
 5647719 50.2 11.8 11.8 3
 5648159 56.1  8.9  8.9 3
 5650945 73.3 16.7  7.1 2
 5653970 71.5  8.7  8.7 2
 5685237 25.9 11.0 25.9 1
 5694017 74.4 12.4 12.4 2
 5694334 31.1 13.5 31.1 1
 5714754 71.6 18.4  9.8 2
 5724214 75.5 14.5  6.5 2
 5771621 25.7 11.0 25.7 1
 5780614 21.5  9.1 21.5 1
 5791045 68.4  9.9  9.9 3
 5857618 72.5 17.5  7.0 2
 5858947 75.4 14.6  6.0 2
 5866537 70.3 12.2 12.2 2
 5866737 26.0 11.1 26.0 1
 5867450 77.2 12.8  6.3 2
 5867802 66.9 23.1  9.9 2
 5869538 69.2  7.8  7.8 2
 5876943 56.8 11.9 11.9 3
 5879114 50.5 11.1 11.1 3
 5880056 70.9 19.1  6.1 2
 5894271 78.1 11.9  6.0 2
 5905907 74.4  6.8  6.8 2
 5937398 70.5 11.2 11.2 2
 5939253 36.0 15.8 36.0 1
 5940068 30.9 13.4 30.9 1
 5940587 52.1 12.7 12.7 3
 5951057 65.1  9.9  9.9 3
 5953450 57.5 14.6 14.6 3
 5954815 33.1 18.2 18.2 3
 5961985 75.7 14.3  5.8 2
 5963287 32.3 14.1 32.3 1
 5967194 74.3 15.7  9.0 2
 5976266 53.2 12.8 12.8 3
 5978435 32.2 14.0 32.2 1
 6019408 50.9 15.5 15.5 3
 6021696 46.1 12.8 12.8 3
 6022709 40.5 14.6 14.6 3
 6025641 71.7 18.3  7.6 2
 6033938 39.6 13.6 13.6 3
 6058104 27.2 11.7 27.2 1
 6061867 37.2 14.3 14.3 3
 6104433 22.4  9.5 22.4 1
 6104786 43.0 14.7 14.7 3
 6114108 67.1 22.9  8.3 2
 6116517 68.7 11.1 11.1 2
 6117517 13.0  5.4 13.0 1
 6117719 36.0 15.9 36.0 1
 6118670 54.1 12.6 12.6 3
 6119179 28.5 12.2 28.5 1
 6119774 71.6 18.4 10.6 2
 6126808 63.1 11.8 11.8 3
 6144777 63.6 12.5 12.5 3
 6185317 64.9 12.3 12.3 3
 6188073 70.4 19.6  9.6 2
 6196950 53.4 31.0 31.0 3
 6200178 56.2 11.7 11.7 3
 6207510 23.2  9.9 23.2 1
 6212708 35.2 15.4 35.2 1
 6212838 71.8 18.2  8.8 2
 6222408 54.6 14.7 14.7 3
 6222530 64.6 12.8 12.8 2
 6223779 33.7 14.8 33.7 1
 6225344 33.7 14.8 33.7 1
 6228590 60.5 16.0 16.0 3
 6231096 32.9 14.3 32.9 1
 6262579 72.8 17.2  5.7 2
 6263718 53.1 13.1 13.1 3
 6263808 71.8 18.1  8.5 2
 6265768 71.2 18.8  6.6 2
 6271966 57.2 12.3 12.3 3
 6273090 65.2 24.8 14.0 2
 6276645 41.3 12.5 12.5 3
 6280636 79.1 10.9  4.8 2
 6289002 49.2 16.2 16.2 3
 6304807 48.5 12.8 12.8 3
 6309862 38.0 16.8 38.0 1
 6311283 27.9 12.0 27.9 1
 6341990 77.2 12.8  6.9 2
 6350696 76.8 13.2  6.1 2
 6352407 59.5 19.1 19.1 3
 6358695 61.3 13.9 13.9 3
 6359454 15.2  6.4 15.2 1
 6360104 54.9 16.4 16.4 3
 6369548 52.8 16.3 16.3 3
 6380975 37.7 11.5 11.5 3
 6391933 73.7  9.5  9.5 3
 6424157 27.3 11.7 27.3 1
 6424320 61.6 13.7 13.7 3
 6424515 70.2 19.8 10.0 2
 6425377 44.0 13.0 13.0 3
 6431097 43.3  8.7  8.7 3
 6435623 63.1 26.9 12.0 2
 6435786 64.9 14.3 14.3 3
 6437547 73.2 16.8 10.3 2
 6441442 75.4 14.6  7.1 2
 6448299 34.2 15.0 34.2 1
 6450868 68.2 21.8 10.7 2
 6451273 71.7 18.3  7.3 2
 6469446 47.3 16.2 16.2 3
 6502598 78.0 12.0  7.3 2
 6504978 27.0 11.6 27.0 1
 6507794 14.5  6.1 14.5 1
 6579495 48.0 16.8 16.8 3
 6584555 59.3 12.3 12.3 3
 6592034 19.4  8.2 19.4 1
 6612102 71.2 17.2 17.2 3
 6620586 56.6 16.3 16.3 2
 6633766 72.3 17.7  7.1 2
 6665058 64.0 17.0 17.0 2
 6678433 69.1 11.5 11.5 3
 6680023 74.3 15.7 12.3 2
 6689517 30.1 13.0 30.1 1
 6690139 73.8 16.2  6.8 2
 6690894 38.2 11.4 11.4 3
 6720334 28.0 12.0 28.0 1
 6751562 55.5 11.6 11.6 3
 6752116 24.6 10.5 24.6 1
 6756156 62.5 13.4 13.4 2
 6762465 71.2 18.8  7.4 2
 6764685 74.4  6.6  6.6 2
 6767165 31.4 13.7 31.4 1
 6774693 71.8  7.1  7.1 2
 6776349 63.5  8.2  8.2 3
 6776396 65.7 11.9 11.9 3
