KIC,DPi1,q,eps_g,drot,incl,e_incl_pos,e_incl_neg,gehan_n_comp,gehan_dnu,gehan_numax,gehan_dpi,gehan_rot,gehan_rot_e,gehan_ncomp,rotation_flag,dpi_e,dpi_E,q_e,q_E,eps_g_e,eps_g_E,drot_e,drot_E,prime_kosts,pct_diff1,pct_diff2,pct_diff3,sing_frac,p1_frac,n1_frac
1723752,83.938,0.16,0.206,0.671,36.4,11.3,11.3,3,15.04,196.84,83.8,610,1.12,3,0,0.024933223932976,0.024715858203351,0.00596481208286,0.005168329318501,0.021501414533847,0.013081999619235,0.016046716977813,0.024765107874466,0.044208873291932,1011.93,59.69,243.21,0.769628012746895,0.045397503859815,0.18497448339329
1430118,83.029,0.155,0.33,0.279,68.8,21.2,8.9,2,13.37,159.51,83.1,270,2.95,2,0,0.027419646743155,0.438901603550022,0.013903287938764,0.022160578858808,0.287667826812265,0.033975161264199,0.044908699180743,0.188027110807702,0.096939318800577,10.79,577.43,847.47,0.007515550014279,0.402196853081097,0.590287596904624
2018537,80.694,0.144,0.334,0.226,31.4,13.6,31.4,1,13.89,182.17,80.9,0,10.2,1,3,0.008360659159209,0.063812108029296,0.010672222774375,0.013869310563896,0.028755794517883,0.015997756048265,0.025989305029361,0.005660061362216,0.01576313243983,343.42,51.61,22.37,0.822759942501198,0.123646382367034,0.053593675131768
1726291,82.546,0.176,0.29,0.541,40.7,12.8,12.8,3,12.92,150.1,82.5,550,6.09,3,0,0.018344422017449,0.022987085470518,0.018838150182575,0.00112098234366,0.025453869850206,0.012653498292212,0.015780878473578,0.015676588987395,0.019588070804826,360.46,150.53,83.77,0.606059587060327,0.25309368484767,0.140846728092004
1569842,80.708,0.155,0.195,0.366,32.5,13.8,13.8,3,11.85,134.72,80.8,365,3.76,3,0,0.144444022983492,0.079228096596282,0.017943920725264,0.017482975681242,0.133666414477696,0.105483060727375,0.027266990560661,0.0296395070975,0.019075949857706,475.08,184.15,142.42,0.5926277053577,0.22971371546186,0.17765857918044
1996415,79.184,0.136,0.227,0,23.9,10.2,23.9,1,10.83,125.84,79,0,1.15,1,1,0.089185578003622,0.076974346095497,0.027212269589458,0.027442651958177,0.107281473330197,0.071403240902469,0,0,0.012933123291751,0,0,0,,,
2011891,76.816,0.119,0.189,0.294,22.1,9.4,22.1,1,9.79,113.29,76.8,0,9.95,1,0,0.035638980694174,0.092450189696706,0.016804222395244,0.020763126331119,0.096803064711333,0.021163105896725,0.018493769353878,0.208160978194203,0.011827630919404,2009.57,19.01,15.76,0.982992065899019,0.009298844614888,0.007709089486093
1723843,72.875,0.16,0.189,0.486,74.3,15.7,7.2,2,9.46,110.99,72.8,480,0.81,2,3,0.00741590559899,0.004871194564302,0.007587764358235,0.009153696781677,0.003502793695643,0.009643133274463,0.007600844890369,0.009461880909346,0.070974819260043,12.37,180.42,239.49,0.028615712038494,0.417368372351254,0.554015915610253
1996078,70.976,0.164,-0.238,0.3,64.5,25.5,10,2,7.8,82.92,71,300,0.94,2,3,0.099808993377863,0.012197074123961,0.024514627542115,0.014771183270113,0.01198978851709,0.21309824170174,0.009513777659991,0.042153818537794,0.109182129905891,6.97,97.51,328.25,0.016107041342177,0.225336815104106,0.758556143553717
1433803,80.221,0.138,0.039,0.399,72.2,9.3,9.3,2,12.22,150.38,80,370,5.46,2,0,0.010113424254342,0.267915360498222,0.019383864158081,0.015719166704179,0.108583974205327,0.022481249059824,0.174180557527372,0.442240291874625,0.063600130541656,8.92,165.68,185.36,0.02478053117013,0.460273363707079,0.514946105122791
