KIC,rotation_flag
3645589,0
5371756,1
8364786,1
10732952,3
2305992,0
11564024,3
8648759,0
8678638,0
12601771,0
3526061,2
7092127,0
4171788,3
7018515,1
10517360,0
8073887,0
11087371,2
8154682,0
5284948,0
12153274,0
12257306,0
11960195,0
4279009,3
11673754,0
6437547,3
9209366,3
10202184,0
9074792,0
7295725,2
9649838,3
9541946,0
4280299,2
11043940,0
9904365,3
12165692,3
3531436,0
11819928,2
12062344,0
11122147,0
10427256,0
10866415,0
11570886,0
9698133,3
6424515,3
9818288,3
9663257,1
5513434,2
5364240,0
10448558,0
4732137,3
11960363,0
9724451,3
11546972,1
5869538,3
5522071,1
11618103,0
7530088,3
7468893,3
5600739,3
4066278,3
12554556,0
7368013,2
6863899,0
11391750,1
9225958,0
8299489,0
3970635,1
7430666,3
4570555,0
7584122,0
8583313,3
12115374,0
7810876,0
7821385,1
8086682,2
7880417,0
8807777,2
6860649,2
8957944,0
5867802,3
5461779,2
8009745,3
3547236,0
8480097,3
9692431,1
6951121,0
10611263,0
1723752,0
11560657,0
11465165,2
9228469,0
5461921,2
8630459,0
9713043,3
4928958,3
11033420,2
9962982,2
9641694,0
2141255,3
8742545,1
6762465,0
11561379,0
2449558,2
9086187,1
7685657,0
1433803,0
10274503,3
4633376,1
4280424,0
5343454,0
5340189,0
10798647,0
5111718,2
10782351,0
11565903,3
9700142,0
12058143,0
6841793,0
5345094,3
8315796,3
2970784,2
1569842,0
11975173,0
7619745,0
10263598,0
8316412,0
9335518,1
10229696,3
8892050,3
8058062,0
9534288,0
10272641,0
3942701,3
4818593,0
12403474,2
5377341,0
3530333,0
8869611,0
5107886,2
4904166,0
2436457,0
9172127,0
11358669,3
11957192,0
5879114,0
2719701,0
9897206,2
10545089,0
8505072,2
8210306,2
7288938,2
11912315,0
11600255,0
8432800,0
9163153,0
11868163,3
6680023,0
7118457,2
9109244,0
6764685,0
5214140,3
10192458,0
12506768,0
5172427,0
12216433,2
3854607,0
10916563,3
9772366,2
8613617,0
7888957,1
7617028,3
8914107,0
8607365,2
5197031,0
3115292,0
6779699,2
4448777,0
6579495,0
7198587,0
8816007,3
12406960,1
10000547,3
5440198,0
9712445,0
5356201,0
8946951,2
11771561,0
8312512,0
9164696,0
7446296,2
6937017,0
9706819,2
11905840,0
7674224,0
7750189,0
11708457,2
7769544,0
8488530,1
8688421,1
5513771,0
8431083,0
8612480,0
7501667,3
5308777,2
4912918,3
2988295,0
2157650,0
4749874,3
7691952,2
6271966,0
8426672,0
5377645,0
8144467,1
10977979,0
4926689,2
7955597,0
5266369,1
8154693,0
5450937,0
6448299,2
8538793,0
7502128,0
9824874,2
2161831,0
4457632,0
10962756,0
10904520,0
7121674,2
5650945,0
10422287,2
8175678,0
8328390,2
8418309,0
11810798,3
8526691,3
11189239,3
10090039,3
8142438,3
7188662,0
8308639,3
4147993,0
10581491,0
4454505,0
6928997,3
5780614,0
3628943,3
8425211,0
8176259,2
10525595,0
3647215,1
6924105,3
4840662,0
9873127,0
8984355,0
11703582,3
10590005,0
3734501,0
7502157,1
12207840,0
6450868,0
11718486,2
8475025,3
10854977,0
7771045,0
4934133,1
5372224,0
10257419,2
7186744,0
8579095,0
11190768,3
8115488,0
12216750,2
5252534,0
3546046,0
10847321,1
5685237,0
5390372,0
3965502,0
11657118,0
11502036,0
7955078,1
4662555,0
6185317,3
9936310,0
6033938,0
8043596,0
6612102,3
10651646,2
11358231,3
9784586,2
9075872,0
11667630,0
11550492,2
8099364,0
3343630,0
5306751,3
7025935,1
8694617,2
6304807,3
9163621,0
11245496,0
8344592,0
2972545,0
10666682,2
9031549,1
9873753,0
10793872,0
3097819,0
7611069,0
11723893,2
5429842,0
12021069,0
8623655,2
7941429,0
11619730,2
10030919,2
8192892,1
7619946,3
6504978,2
3746005,2
6451273,0
6104433,0
4756746,0
5083853,0
7060732,0
5016549,2
9245197,0
6280636,3
9289780,0
6352407,0
10881317,1
5341746,0
7983015,3
8718745,0
4147928,0
9967700,3
7690739,0
8507484,1
6369548,0
2972876,2
6311283,0
3426673,3
7348314,2
8451486,3
8387668,0
8377962,3
7778197,0
7131794,2
8162712,2
9844539,2
5866737,1
6751562,0
12885196,3
12017829,0
11821135,3
7450230,0
2011891,0
9472076,0
5110453,3
5389263,0
9018640,0
4066074,2
4839278,1
9305599,0
6119774,0
8815517,0
2998532,0
11413393,3
6359454,0
8017898,2
7696229,1
12402804,2
9699882,0
10339303,2
8453896,3
8110026,2
5215820,2
3111831,2
2422558,0
5305945,3
4282310,3
1719422,0
9896174,0
4660930,2
10068556,0
5350163,2
6350696,0
5771621,3
11097752,0
3441207,0
9456242,0
9211176,0
11129191,3
10556924,2
4842192,0
6879830,0
2715975,2
6767165,3
5521181,3
3525569,3
7733106,2
5035304,0
10732050,2
11241658,2
6853977,2
8026963,0
5543573,0
9211160,0
5295846,3
5937398,3
5340720,0
9665890,1
7107419,0
4848095,0
9593478,0
10149324,0
10593078,3
3973247,0
3532085,0
6633766,0
7591451,0
10146803,3
6358695,0
4730648,0
3439353,2
4997023,2
7869863,0
4048951,0
3751415,0
7818152,0
11650682,3
10257635,0
9031798,0
5255835,2
6620586,0
7815838,0
12505707,0
10420629,0
5940068,3
10712314,2
9768134,0
10333131,0
10148629,3
6502598,3
10328727,0
4262505,3
9300159,0
6720334,3
9941141,0
10937071,2
9534964,0
7377547,0
7439931,0
11196317,3
4667909,3
8766846,3
11911929,0
4568343,0
9157260,3
9290593,2
10192691,2
8009740,0
10223473,3
7621593,0
5694334,1
7957377,2
8674172,1
4650936,0
11623897,2
10133033,0
9789635,0
9635649,0
7957918,0
2974827,0
8235144,3
4180064,2
9214512,3
10779537,0
9893850,3
3733123,2
8330073,0
8235991,0
12154686,2
4833419,2
8250069,3
6689517,3
7033225,0
6424157,1
6188073,0
6196950,0
4056579,0
10424379,0
7458743,2
11038809,0
5880056,0
5653970,3
5384777,0
4261269,0
9457533,3
7581822,0
6223779,0
11353313,0
8636389,0
8564976,3
10387370,2
9512519,3
5963287,0
4586817,0
2583386,3
9071153,0
6231096,0
10645209,3
8155782,0
9146372,0
3539429,0
10158595,1
5645576,1
4989477,0
5385518,3
12456237,2
9474201,2
3847096,0
11251622,2
5105354,3
9887670,2
10935377,0
8161789,0
9285116,0
4174996,0
5254812,2
5976266,0
9707138,2
8309466,0
11349490,0
10188953,0
11465618,0
9777479,0
3428577,3
5341131,2
8366239,0
2442483,2
8391545,0
3547041,3
6584555,0
10971897,2
9137958,1
10792866,3
7302117,0
9512635,3
2579661,3
11521653,0
4664515,0
9885121,2
8123432,1
8819552,0
9881708,0
10909816,0
6360104,2
10658641,0
10452960,0
4555734,0
6936091,3
5285490,2
5714754,0
7630743,0
4729920,0
3751663,0
7510539,0
7609801,1
7849791,3
5940587,3
10482211,0
4376913,3
6025641,3
10973397,2
4995788,1
2696732,2
8893087,2
7621561,0
10034889,3
12060254,0
5199978,0
5002732,0
8007218,0
7265189,2
8494157,3
9700053,0
8423708,3
10088999,0
11671578,0
12166563,2
7630302,0
9513889,0
9210548,0
10799729,0
8827853,0
8323295,0
10722175,2
1027337,0
11404803,3
10587201,0
10018811,2
2020383,2
7762104,0
3111456,3
5866537,0
5522575,3
10813626,0
8564157,0
4172148,2
8872890,0
8555599,2
8428095,2
8017348,3
7937449,0
3531478,0
6116517,2
5544444,0
3427908,0
8429977,1
10019661,1
7014126,0
9575847,0
7870694,0
11285650,0
6435623,0
7283405,3
12457926,0
8813618,0
4164464,0
3119555,3
4649441,2
11068380,2
11606451,0
11968334,0
8524315,2
12506511,3
8733697,3
4847270,2
4137210,0
9531103,0
8742912,2
5290047,3
4365132,3
6776396,0
10386904,0
6019408,0
11623942,2
10322666,3
5034206,0
12203243,3
8172679,0
9152245,0
5019587,1
10599977,0
8004863,1
3735912,0
11136578,2
9837129,0
4489185,3
12059823,3
5208343,0
11287949,3
7090867,3
7128663,3
3430007,2
2161409,0
6592034,0
8458954,0
7661080,0
3216334,3
9119915,0
7884986,0
8630587,0
8374394,3
8543569,0
9758193,0
11802908,3
7985382,2
6425377,0
5370902,3
6391933,0
10145736,0
9418101,3
11824817,0
8518198,0
7809050,0
8264074,0
7546098,0
10397623,2
8144802,3
12008916,3
8420916,2
9074137,0
8283356,0
9267654,2
6341990,3
9326896,0
5112072,2
8459085,3
12557207,3
8214394,3
5371124,0
11127815,1
10580260,1
8173581,1
6228590,3
2285827,0
9713617,0
8458459,0
8188772,0
7217530,3
8054055,0
5470218,0
5791045,0
8815404,2
10727457,0
9726669,2
4466582,3
6469446,0
9340325,3
1430985,2
11083613,0
5967194,0
7799904,0
9018790,0
11601276,0
11404149,0
6859803,0
7983431,0
10667545,3
9882316,3
9269234,0
9596479,0
6212708,2
6262579,3
6022709,0
9964436,3
8605197,0
8609482,0
7376659,0
4475643,3
6117719,0
2557392,3
5905907,0
2447476,1
11571423,0
10472755,0
9368745,3
5867450,0
10910197,0
7178170,0
12206812,0
2568912,2
5613099,0
2835657,0
5637392,3
10122250,3
8686904,0
7728741,0
5080831,0
10989961,2
4932704,0
6441442,0
7518352,1
6222408,3
6058104,0
4168909,0
11958976,0
6868144,2
6276645,3
5215099,1
10123207,0
7350897,0
5109878,3
12155459,3
7696976,0
7348956,2
7207127,3
4645474,3
8315560,2
9145781,3
8081497,0
8574234,3
8510560,2
7765258,0
6061867,0
8440248,0
2018537,3
6144777,0
7872097,3
10382727,0
6021696,0
9427899,0
5000089,0
4755372,0
3756174,0
11612135,2
6786177,2
3222834,0
6435786,0
7836711,3
8025991,2
8620380,3
9652704,0
4952717,0
5954815,2
10924652,0
7878388,0
6212838,0
10751237,0
7270385,0
6114108,3
11507936,2
6200178,3
5951057,2
9825272,2
8110809,3
8262338,3
5602062,0
10669590,3
3337536,1
5560101,1
12007304,0
7107505,2
9426610,2
5003549,0
6837573,0
9642805,0
9084281,0
8181816,2
9574650,0
10858675,1
9534802,3
4904621,0
9091127,0
11468053,1
7661600,3
11349180,0
7516156,3
7258188,0
4826423,1
1996078,3
7518143,0
6265768,3
5530598,0
6774693,3
9224602,1
6752116,1
6507794,0
4902442,0
2303101,0
3842778,0
5129236,0
6222530,0
7629559,0
1996415,1
9402439,0
7049771,3
5113441,2
1726291,0
7798570,2
7533995,0
8545504,0
5639438,0
6756156,3
12507577,3
4356490,3
4953262,0
5109052,3
6118670,0
5176520,3
7009245,0
6665058,0
4774298,0
7777395,3
5724214,3
5647719,0
8742229,0
7624334,0
10387999,3
10006097,0
11453225,3
7136854,0
4348513,0
3347431,2
6925109,3
6785068,3
9202597,0
3113648,0
2833772,2
3744043,3
11086949,1
11520578,0
9602686,0
3100164,2
6424320,0
7969053,0
4571448,0
9100548,0
2692629,0
10593799,0
2835067,2
10460225,3
1723843,3
6273090,0
6117517,0
3861797,0
9631875,3
11466403,3
3448427,0
6263718,0
7292720,0
4726049,2
9969088,0
8016650,2
6793808,1
5648159,0
7108511,0
12170173,3
2971432,1
8936347,0
9663247,0
10351142,2
11913545,0
8957693,0
8866860,3
8307791,3
9712824,0
8111555,0
8620872,0
8077790,0
3955033,2
4645513,1
3833819,0
5514689,0
2160910,0
3247146,2
10977146,0
8838230,0
3096636,3
7189418,3
10684749,0
11655827,0
9145861,0
3432802,0
10668065,3
2578581,0
9520216,0
10449846,0
8301905,0
6119179,1
3430674,0
4669118,0
8981783,0
7730215,0
4350501,3
7617912,0
11361765,0
9904059,3
5620636,0
7018212,0
8221785,3
8360297,0
4465516,0
11602793,2
7468295,0
9285727,0
8127707,3
10979458,0
8158382,3
8098608,0
5457703,0
10796857,2
6126808,0
4471217,3
11020211,0
9273251,0
6104786,0
11404111,0
9521171,0
6947706,1
8087067,0
9932463,3
1870196,0
7387808,3
9811950,0
7698688,0
10069788,0
9778887,1
10861311,2
8055108,0
5380775,2
8004637,0
7878297,2
7504619,0
6876162,2
2853354,0
10982591,0
10675052,0
6225344,2
5168382,0
4074796,0
8098454,0
10862184,3
9767815,1
4991732,3
9368528,0
7042040,0
8684542,3
5206349,3
7122640,2
9209565,3
6953912,2
3642837,2
8673261,0
12012511,2
7697633,0
9531084,3
12834442,1
9946213,3
3109742,2
6263808,2
2584478,3
