kic,bopt_dpi,bopt_q,mosser_dpi,mosser_q
1027337,70.29,0.13,69.67,0.12
1161618,329.814,0.221,329.95,0.19
1162746,248.384,0.233,279.19,0.3
1569842,80.644,0.178,80.54,0.15
1571780,334.501,0.309,329.54,0.25
1575886,232.387,0.206,230.65,0.25
1576469,285.101,0.389,284.8,0.23
1723752,83.995,0.172,83.8,0.16
1723843,72.732,0.143,72.84,0.14
1725190,218.668,0.213,216.5,0.25
1868101,300.714,0.252,302.49,0.29
1870196,85.143,0.122,85.04,0.15
1995859,322.215,0.335,321.22,0.31
1996078,71.535,0.12,71.57,0.14
1996415,79.223,0.134,79.11,0.14
2011891,76.939,0.127,76.78,0.13
2013502,233.558,0.275,232.5,0.25
2016676,256.877,0.223,256.36,0.25
2016706,261.365,0.261,260.91,0.21
2016978,71.292,0.125,71.24,0.15
2018537,80.989,0.1,80.76,0.11
2140446,66.224,0.064,61.03,0.14
2157650,77.749,0.125,77.54,0.15
2161409,72.709,0.102,72.41,0.12
2164327,237.302,0.251,236.12,0.22
2165615,240.823,0.285,241.41,0.25
2283721,71.754,0.116,66.37,0.15
2285827,82.34,0.099,82.25,0.12
2303101,84.268,0.116,84.31,0.13
2305145,215.115,0.235,213.27,0.23
2305479,71.508,0.062,68.71,0.14
2305992,74.661,0.118,74.52,0.11
2309550,316.213,0.28,313.07,0.27
2310129,315.527,0.334,313.35,0.25
2422558,74.625,0.119,74.38,0.11
2424934,329.691,0.173,328.41,0.29
2436417,301.425,0.492,305.6,0.2
2438368,246.148,0.245,246.32,0.22
2441995,324.694,0.534,325.09,0.41
2442483,76.525,0.133,76.39,0.14
2443903,70.576,0.137,71.1,0.12
2447476,71.045,0.108,70.84,0.14
2447604,295.48,0.256,294.48,0.28
2448679,332.23,0.256,325.45,0.26
2449020,315.3,0.378,313.05,0.25
2449558,74.61,0.156,74.4,0.12
2568912,80.674,0.151,80.38,0.15
2572089,338.644,0.423,336.27,0.24
2573092,296.808,0.404,294.6,0.28
2578581,86.803,0.164,86.48,0.14
2583386,87.994,0.147,87.38,0.18
2583884,307.577,0.291,305.57,0.28
2584478,81.532,0.174,81.07,0.13
2693967,231.779,0.239,230.81,0.18
2697082,317.563,0.302,300.68,0.3
2697501,304.437,0.294,302.69,0.25
2714090,273.086,0.296,271.85,0.27
2714397,327.229,0.309,328.04,0.3
2716608,321.237,0.599,316.6,0.3
2835067,75.157,0.066,70.84,0.12
2835657,70.037,0.098,69.9,0.12
2970396,287.157,0.41,286.64,0.25
2971432,83.529,0.174,83.49,0.14
2972545,80.284,0.15,80.34,0.12
2972876,91.214,0.173,91.17,0.14
2987113,219.378,0.536,246.75,0.26
2988295,89.518,0.183,88.85,0.16
2988638,234.742,0.211,232.42,0.21
2992350,243.627,0.333,242.77,0.31
2996019,313.845,0.416,313.85,0.37
2996112,324.962,0.456,323.75,0.35
3098045,280.258,0.309,280.36,0.26
3098179,80.988,0.159,80.88,0.13
3099949,305.367,0.375,328.01,0.38
3100053,318.964,0.251,316.03,0.31
3102479,316.814,0.248,316.08,0.26
3111831,78.731,0.137,78.51,0.13
3113648,74.293,0.098,73.95,0.12
3116604,254.555,0.181,253.8,0.22
3119526,262.032,0.278,261.43,0.26
3119555,70.543,0.115,70.49,0.12
3122185,226.348,0.198,223.57,0.22
3122548,294.535,0.476,285.56,0.24
3123653,74.917,0.138,74.78,0.12
3128866,281.006,0.199,279.19,0.23
3129312,82.027,0.154,82.5,0.14
3215565,333.168,0.299,334.02,0.34
3217051,316.131,0.338,314.93,0.28
3218312,71.345,0.119,70.89,0.12
3221086,73.058,0.129,72.84,0.12
3222740,74.558,0.102,70.01,0.12
3222834,84.656,0.128,84.4,0.13
3231503,225.232,0.152,224.4,0.25
3232813,262.697,0.208,262.67,0.26
3232838,247.931,0.249,247.14,0.26
3234655,286.604,0.319,286.61,0.26
3234703,263.453,0.277,262.65,0.23
3235616,213.802,0.127,212.16,0.21
3236108,321.764,0.227,319.0,0.24
3238859,242.18,0.219,241.66,0.29
3241374,338.29,0.198,251.35,0.3
3323401,295.026,0.338,295.3,0.29
3337536,77.872,0.149,77.79,0.14
3342658,249.939,0.395,249.11,0.29
3343630,73.247,0.108,73.04,0.12
3348134,328.096,0.401,323.04,0.32
3355015,293.385,0.183,292.24,0.23
3425476,282.838,0.272,271.13,0.2
3425675,286.544,0.387,327.89,0.32
3426673,80.929,0.132,80.68,0.14
3426898,69.59,0.104,69.46,0.1
3428530,86.505,0.151,86.2,0.16
3432802,77.412,0.128,77.52,0.12
3438609,299.052,0.407,297.71,0.25
3439353,69.199,0.103,69.15,0.12
3453419,323.457,0.275,320.66,0.23
3456449,327.262,0.272,326.35,0.22
3526995,248.542,0.192,248.84,0.22
3529399,78.909,0.153,79.11,0.13
3529480,267.089,0.311,269.77,0.3
3529597,237.829,0.187,238.07,0.2
3531436,79.429,0.152,79.45,0.16
3531478,87.938,0.138,87.12,0.16
3532085,77.033,0.128,76.92,0.14
3532734,75.576,0.162,75.84,0.14
3539429,77.73,0.134,77.53,0.12
3541061,324.152,0.306,325.12,0.33
3541897,258.175,0.282,258.11,0.29
3544887,333.049,0.433,330.89,0.35
3546046,82.637,0.158,82.59,0.13
3547041,74.792,0.161,74.65,0.11
3547236,79.425,0.146,79.31,0.12
3555292,295.0,0.223,292.99,0.22
3560093,293.824,0.306,291.66,0.22
3631402,295.289,0.278,294.96,0.27
3631821,323.63,0.595,315.62,0.34
3641504,75.147,0.14,74.09,0.14
3642837,80.041,0.119,73.41,0.12
3744043,76.009,0.145,75.94,0.13
3744681,288.448,0.28,291.06,0.18
3749487,68.516,0.099,68.0,0.12
3847667,309.884,0.279,311.1,0.35
4066278,73.991,0.115,74.24,0.15
4072740,88.344,0.153,88.81,0.14
4351319,148.967,0.116,97.41,0.2
4448777,89.506,0.104,89.46,0.17
4726049,89.363,0.191,88.89,0.18
4770846,310.552,0.279,308.3,0.15
4952717,87.168,0.146,86.78,0.16
5112373,240.091,0.232,240.3,0.19
5215820,70.934,0.127,68.88,0.14
5308777,71.188,0.132,70.34,0.12
5380775,77.412,0.154,78.37,0.12
5385518,79.617,0.137,79.9,0.12
5515314,79.264,0.147,79.12,0.13
5596656,97.049,0.227,95.76,0.2
5637392,67.055,0.117,70.6,0.12
5653970,72.423,0.147,73.28,0.12
5694017,83.732,0.135,83.52,0.13
5866737,68.651,0.13,66.23,0.12
6117517,76.99,0.136,76.71,0.12
6144777,79.116,0.159,79.05,0.13
6200178,75.924,0.132,76.14,0.12
6273090,73.369,0.119,73.54,0.13
6363338,282.33,0.272,281.63,0.26
6579495,73.156,0.145,73.54,0.15
6762022,259.244,0.203,259.19,0.25
6928997,77.431,0.119,77.04,0.12
7025568,288.289,0.441,286.87,0.28
7267119,73.632,0.102,74.24,0.13
7439931,85.304,0.134,85.21,0.16
7619745,79.041,0.176,78.82,0.13
8475025,74.606,0.125,74.38,0.13
8522050,188.945,0.537,187.86,0.28
8623565,73.18,0.117,71.92,0.1
8718745,80.249,0.168,80.03,0.15
8827367,89.159,0.145,88.65,0.16
9145955,76.852,0.162,76.81,0.12
9267654,78.057,0.148,77.94,0.13
9475697,75.699,0.127,75.56,0.11
9882316,80.498,0.18,80.3,0.15
10123207,83.627,0.16,83.57,0.15
10200377,81.484,0.161,81.33,0.14
10387370,70.07,0.124,70.45,0.12
10777816,86.206,0.197,86.03,0.15
10866415,75.355,0.128,75.26,0.12
11353313,76.854,0.156,76.95,0.14
11550492,75.23,0.11,74.86,0.13
11968334,77.76,0.153,77.91,0.13
1433803,79.981,0.133,79.98,0.13
1719422,76.807,0.141,76.98,0.12
1867706,83.013,0.13,83.0,0.15
2141255,80.567,0.153,81.15,0.15
2161831,81.339,0.131,81.18,0.16
2164379,78.152,0.126,77.83,0.14
2579661,76.473,0.132,76.34,0.12
5393453,76.313,0.128,76.2,0.12
5858947,84.087,0.199,83.98,0.2
9574650,76.037,0.146,75.92,0.14
10257278,79.143,0.147,79.52,0.13
1726291,82.577,0.158,82.59,0.15
2998532,74.84,0.124,75.11,0.12
