  KIC   numax  e_numax   dnu e_dnu  dpi e_dpi  q e_q   eps_g e_eps_g    rot  e_rot
  1026084   45.80  0.57   4.45 0.04  250.58 0.15  0.35 0.04   0.032 0.051    40  10
  1026326   94.91  1.18   8.87 0.05   74.55 0.02  0.12 0.02   0.068 0.049   160  12
  1027337   74.15  0.90   6.98 0.04   69.67 0.03  0.12 0.02  -0.057 0.094   240  14
  1161618   33.71  0.51   4.08 0.04  329.95 0.16  0.19 0.03  -0.043 0.049    45  11
  1162746   27.18  0.48   3.81 0.04  279.19 0.12  0.30 0.04   0.020 0.061    65  12
  1163453   39.78  0.56   4.43 0.04  301.61 0.25  0.26 0.03  -0.171 0.072    25   7
  1297272   31.40  0.53   4.18 0.04  321.21 0.23  0.38 0.05  -0.061 0.073    40  10
  1430118  159.51  2.03  13.38 0.07   83.06 0.09  0.15 0.02   0.301 0.079   260  20
  1430985  122.00  1.47  10.52 0.05   74.97 0.02  0.15 0.02   0.321 0.036   480  14
  1431316   37.40  0.54   4.30 0.04  322.81 0.29  0.33 0.04  -0.111 0.083    40  10
  1433803  150.38  1.71  12.22 0.05   79.98 0.05  0.13 0.02   0.274 0.050   370  17
  1434013   26.05  0.51   4.01 0.04  295.86 0.11  0.20 0.04  -0.177 0.063    50  12
  1569842  134.72  1.62  11.85 0.05   80.54 0.06  0.15 0.02   0.382 0.069   350  17
  1571780   47.20  0.57   4.48 0.04  329.54 0.31  0.25 0.03  -0.178 0.064    70  17
  1575886  100.84  1.09   8.08 0.04  230.65 0.71  0.25 0.03  -0.063 0.139    80  20
  1576469   90.60  0.98   7.41 0.04  284.80 0.64  0.23 0.03  -0.102 0.096    67   6
  1576646   85.26  1.01   7.71 0.04   70.52 0.05  0.12 0.02   0.178 0.123   205  16
  1717994   31.18  0.52   4.11 0.04  322.72 0.11  0.22 0.03  -0.026 0.034   999 999
  1719422  136.43  1.61  11.33 0.05   76.98 0.06  0.12 0.02   0.328 0.077   260  17
  1723700   39.42  0.57   4.48 0.04  323.40 0.17  0.24 0.04   0.066 0.043    57   5
  1723752  196.84  2.41  15.03 0.07   83.80 0.11  0.16 0.02   0.296 0.085   590  27
  1723843  111.00  1.27   9.46 0.04   72.84 0.05  0.14 0.02   0.256 0.093   480  18
  1724879   40.03  0.57   4.49 0.04  289.89 0.29  0.24 0.03  -0.025 0.095    15   7
  1725190   97.98  1.05   7.87 0.04  216.50 0.43  0.25 0.03   0.081 0.103    60  15
  1726291  150.10  1.85  12.92 0.06   82.59 0.08  0.15 0.02   0.228 0.088   500  21
  1864959   40.09  0.57   4.50 0.04  307.79 0.37  0.22 0.03  -0.050 0.098    22   7
  1865102   82.29  1.04   7.96 0.04   73.82 0.05  0.12 0.02   0.113 0.108    90  15
  1867706  105.18  1.17   8.79 0.04   83.00 0.07  0.15 0.02   0.283 0.099   275  18
  1868101   31.60  0.48   3.80 0.03  302.49 0.21  0.29 0.03  -0.154 0.077    20   7
  1870196  190.89  2.33  14.94 0.07   85.04 0.05  0.15 0.02   0.235 0.039   340  16
  1872842   40.87  0.56   4.44 0.04  279.94 0.19  0.20 0.03  -0.016 0.062    20   7
  1995859   46.00  0.61   4.76 0.04  321.22 0.22  0.31 0.03  -0.112 0.048    25   7
  1996078   82.92  1.01   7.80 0.04   71.57 0.03  0.14 0.02  -0.072 0.085   590  17
  1996415  125.80  1.50  10.83 0.05   79.11 0.03  0.14 0.02   0.312 0.040   450  15
  2010702   29.31  0.51   4.08 0.04  321.91 0.18  0.25 0.04  -0.224 0.067    20   7
  2011891  113.29  1.30   9.79 0.04   76.78 0.03  0.13 0.02   0.235 0.043   280  13
  2013502   60.58  0.74   5.72 0.04  232.50 0.12  0.25 0.03  -0.102 0.041    25   7
  2016676   80.63  0.91   6.89 0.04  256.36 0.28  0.25 0.03  -0.087 0.055    50  12
  2016706   38.13  0.55   4.32 0.04  260.91 0.14  0.21 0.03   0.005 0.053    30   7
  2016978   75.24  0.94   7.27 0.04   71.24 0.03  0.15 0.02   0.330 0.090   280  14
  2018537  182.17  2.14  13.89 0.06   80.76 0.07  0.11 0.02   0.275 0.061   300  19
  2018585   86.86  1.10   8.42 0.04   74.56 0.03  0.14 0.02   0.272 0.071   246  13
  2020383  106.33  1.32   9.47 0.06   75.98 0.02  0.12 0.02   0.264 0.041   400  14
  2021216  187.32  2.45  14.43 0.08   83.91 0.10  0.14 0.02   0.253 0.074   190  21
  2140446   57.44  0.73   5.70 0.04   61.03 0.02  0.14 0.02   0.049 0.081   999 999
  2140982   34.80  0.52   4.12 0.04  256.16 0.11  0.21 0.03  -0.472 0.048    20   7
  2141255  147.90  1.78  12.40 0.06   81.15 0.04  0.15 0.02   0.195 0.046   540  17
  2141436  111.54  1.36  10.08 0.05   77.68 0.04  0.13 0.02   0.233 0.054   330  15
  2156988   29.70  0.49   3.92 0.04  286.48 0.23  0.28 0.04  -0.224 0.094    30   7
  2157650  139.01  1.61  11.39 0.05   77.54 0.08  0.15 0.02   0.273 0.094   600  24
  2160161   45.70  0.60   4.68 0.04  276.86 0.29  0.25 0.03   0.027 0.089    40  10
  2160572   31.40  0.50   3.96 0.04  245.27 0.12  0.25 0.03  -0.012 0.067    25   7
  2160910  117.93  1.43  10.44 0.05   77.33 0.04  0.14 0.02   0.329 0.067   470  16
  2161409   98.74  1.16   8.61 0.05   72.41 0.07  0.12 0.02   0.150 0.148   340  20
  2161831  145.67  1.78  12.46 0.06   81.18 0.04  0.16 0.02   0.369 0.043   340  15
  2163121   35.60  0.51   4.02 0.04  330.15 0.47  0.28 0.04  -0.024 0.130    20   7
  2163597   32.60  0.51   4.08 0.04  325.34 0.32  0.27 0.04   0.148 0.103    25   7
  2163605   34.80  0.54   4.30 0.04  301.97 0.18  0.30 0.04   0.052 0.062    42  10
  2164327   44.70  0.59   4.68 0.04  236.12 0.12  0.22 0.03   0.088 0.052    30   7
  2164379  121.51  1.41  10.32 0.05   77.83 0.06  0.14 0.02   0.320 0.088   290  17
  2165615   37.29  0.53   4.16 0.04  241.41 0.14  0.25 0.03  -0.049 0.064    60  14
  2166766   45.00  0.58   4.58 0.04  328.11 0.33  0.25 0.03  -0.264 0.073    35   8
  2283721   79.78  1.01   7.85 0.04   66.37 0.04  0.15 0.02   0.255 0.098   970  26
  2285827  167.99  1.98  13.28 0.06   82.25 0.05  0.12 0.02   0.188 0.045   390  17
  2297785   48.10  0.60   4.69 0.04  289.55 0.19  0.24 0.03  -0.104 0.052    22   7
  2299926   41.07  0.57   4.47 0.04  304.87 0.30  0.26 0.03  -0.101 0.078    25   7
  2300853   34.80  0.52   4.09 0.04  312.22 0.26  0.28 0.03   0.090 0.082    40  10
  2301577   35.29  0.54   4.26 0.04  318.26 0.24  0.24 0.03  -0.140 0.070    50  12
  2303101  171.07  2.06  13.79 0.06   84.31 0.02  0.13 0.02   0.285 0.015   620  15
  2303367   34.20  0.51   4.05 0.04  308.70 0.15  0.28 0.03  -0.053 0.047    30   7
  2305145  107.26  1.17   8.36 0.05  213.27 0.56  0.23 0.03  -0.163 0.125    40  10
  2305479   79.08  0.97   7.49 0.04   68.71 0.02  0.14 0.02  -0.182 0.052   350  13
